lot,dose_type_norm,total_recipients
EJ6790,Spikevax,2
EJ6797,Astra-Zeneca,11
EJ6797,Comirnaty,93635
EJ6797,Spikevax,1
EK9788,Astra-Zeneca,4
EK9788,Comirnaty,15051
EK9788,Spikevax,1
EL0725,Comirnaty,17281
EL0725,Janssen,1
EL0725,Spikevax,52
EP2163,Astra-Zeneca,5
EP2163,Comirnaty,55520
EP2163,Spikevax,6
EP2166,Astra-Zeneca,5
EP2166,Comirnaty,72601
EP2166,Spikevax,5
ET1831,Astra-Zeneca,11
ET1831,Comirnaty,171580
ET1831,Spikevax,3
ET3620,Astra-Zeneca,3
ET3620,Comirnaty,131936
ET3620,Spikevax,5
ET7205,Comirnaty,57948
ET7205,Spikevax,1
EW2239,Astra-Zeneca,5
EW2239,Comirnaty,47100
EW2239,Spikevax,1
EW2246,Comirnaty,137622
EW2246,Spikevax,9
EW4815,Comirnaty,144125
EW4815,Spikevax,1
EX0893,Astra-Zeneca,1
EX0893,Comirnaty,95153
EX0893,Spikevax,3
EY3014,Astra-Zeneca,2
EY3014,Comirnaty,331196
EY3014,Spikevax,10
EY7015,Astra-Zeneca,1
EY7015,Comirnaty,371784
EY7015,Spikevax,8
FA4598,Comirnaty,336876
FA4598,Spikevax,7
FC0681,Comirnaty,278040
FC0681,Spikevax,5
FC2473,Comirnaty,232492
FC2473,Spikevax,159
FD0168,Comirnaty,190766
FD0168,Janssen,1
FD0168,Spikevax,3
FD1921,Comirnaty,343105
FD1921,Spikevax,6
FD4555,Comirnaty,74946
FD4555,Spikevax,3
FD6840,Astra-Zeneca,1
FD6840,Comirnaty,197558
FD6840,Janssen,3
FD6840,Spikevax,5
FE1248,Astra-Zeneca,1
FE1248,Comirnaty,75415
FE1248,Janssen,2
FE1248,Spikevax,2
FE6208,Comirnaty,172401
FE6208,Janssen,4
FE6208,Spikevax,2
FE7051,Comirnaty,62726
FE7051,Janssen,23
FE7051,Spikevax,2
FE8244,Comirnaty,69446
FE8244,Janssen,7
FE8244,Spikevax,2
FF0680,Comirnaty,96840
FF0680,Janssen,11
FF0680,Spikevax,9
FF2832,Comirnaty,81707
FF2832,Janssen,61
FF2832,Spikevax,5
FF3318,Comirnaty,84594
FF3318,Janssen,10
FF3318,Spikevax,1
FG3739,Comirnaty,61123
FG3739,Janssen,21
FG3739,Spikevax,7
FG4509,Astra-Zeneca,3
FG4509,Comirnaty,71227
FG4509,Janssen,34
FG4509,Novavax,1
FG4509,Spikevax,2
FK0594,Comirnaty,14653
FK0594,Janssen,12
FK0594,Spikevax,6
FL4213,Comirnaty,11337
FL4213,Janssen,7
FL4213,Novavax,1
FL5324,Comirnaty,13846
FL5324,Janssen,1
FL5324,Spikevax,2
FM7533,Astra-Zeneca,1
FM7533,Comirnaty,34712
FM7533,Janssen,10
FM7533,Novavax,11
FM7533,Spikevax,28
FM9088,Comirnaty,2855
FM9088,Janssen,1
FN4071,Comirnaty,3552
FN4071,Spikevax,1
FN4072,Comirnaty,47993
FN4072,Spikevax,4
FN5519,Comirnaty,7618
FN5519,Janssen,5
FN5519,Novavax,1
FN5519,Spikevax,1
FP1972,Comirnaty,3561
FP1972,Janssen,1
FP1972,Others,1
FP1972,Spikevax,6
FP8234,Comirnaty,1188
FP8234,Janssen,2
FP8956,Comirnaty,1842
FP8956,Janssen,1
FR3566,Comirnaty,570
FR3566,Janssen,2
FR3566,Spikevax,4
GD6798,Astra-Zeneca,1
GD6798,Comirnaty,327
GD6798,Janssen,1
GD6798,Spikevax,7
GD6803,Comirnaty,41
GD6803,Janssen,2
GH9722,Comirnaty,345
GH9722,Janssen,1
GH9851,Comirnaty,137
GH9851,Janssen,1
GH9851,Novavax,1
GH9851,Others,1
GJ1988,Comirnaty,128
GJ1988,Others,1
GJ1988,Spikevax,2
GK4367,Comirnaty,41
GK4367,Janssen,1
PCA0002,Comirnaty,24040
PCA0002,Janssen,13
PCA0002,Spikevax,2
PCA0003,Comirnaty,158
PCA0003,Spikevax,2
PCB0001,Comirnaty,25246
PCB0001,Janssen,12
PCB0001,Spikevax,9
PCB0017,Comirnaty,58
PCB0017,Janssen,1
PCB0017,Novavax,1
SCTR1,Comirnaty,73350
SCTR1,Janssen,36
SCTR1,Spikevax,6
SDCN1,Comirnaty,3408
SDCN1,Janssen,1
XD955,Astra-Zeneca,6
XD955,Comirnaty,2
XD955,Janssen,16265
XD974,Astra-Zeneca,4
XD974,Comirnaty,3
XD974,Janssen,21370
XD974,Spikevax,2
XD975,Comirnaty,6
XD975,Janssen,18531
XD975,Spikevax,58
XD986,Astra-Zeneca,1
XD986,Comirnaty,6
XD986,Janssen,31496
XD986,Spikevax,6
XE393,Comirnaty,62
XE393,Janssen,145341
XE393,Spikevax,5
XE423,Comirnaty,1
XE423,Janssen,11013
