dose_type_norm,lot,total_recipients
Comirnaty,GK7826,1
Comirnaty,GL6799,18
Comirnaty,HD9869,125
Comirnaty,HD9871,110
Comirnaty,HG2252,101
Comirnaty,HG2355,235
Comirnaty,HH0832,246
Comirnaty,HH2355,5
Comirnaty,HH4040,277
Comirnaty,HH6775,23
Comirnaty,HH8656,299
Comirnaty,HJ3093,154
Comirnaty,HJ3097,455
Comirnaty,HJ4781,72
Comirnaty,PCA0002,24040
Comirnaty,PCA0003,158
Comirnaty,PCA0075,96
Comirnaty,PCA0081,1
Comirnaty,PCA0082,38
Comirnaty,PCB0001,25246
Comirnaty,PCB0017,58
Comirnaty,SCTR1,73350
Comirnaty,SCWF7,1573
Comirnaty,SDCN1,3408
Comirnaty,SDYY1,4
Comirnaty,U6856AA3V,10
Comirnaty,V3N095V,2
Comirnaty,XD955,2
Comirnaty,XD974,3
Comirnaty,XD975,6
Comirnaty,XD986,6
Comirnaty,XE393,62
Comirnaty,XE423,1
Janssen,,38438
Janssen,000039A,2
Janssen,090F21A,9
Janssen,150001,1
Janssen,1F1005A,10
Janssen,1F1006A,16
Janssen,1F1020A,44
Janssen,1K082A,4
Janssen,210102,6
Janssen,210105,14
Janssen,216041,1
Janssen,21C10-05,13235
Janssen,21C11-05,11089
Janssen,21C16-05,9520
Janssen,21C17-05,9005
Janssen,21C18-05,12432
Janssen,3001939,1
Janssen,3001943,165
Janssen,3002330,11
Janssen,3002339,24
Janssen,3002546,21
Janssen,3002916,39
Janssen,3002920,96
Janssen,3003601,17
Janssen,3003606,18
Janssen,3003659,3
Janssen,3004218,21
Janssen,3004493,6
Janssen,3004670,4
Janssen,3004738,4
Janssen,3005242,7
Janssen,4301MF011,2
Janssen,ABV5811,1
Janssen,ABV7764,57
Janssen,ABW1277,10
Janssen,ABW2187,38
Janssen,ABW2953,41
Janssen,ABW4801,99
Janssen,ABX3502,70
Janssen,ABX3519,6
Janssen,ABX4044,102
Janssen,ABX5105,5
Janssen,ABY1328,51
Janssen,ABZ5320,16469
Janssen,ACA4541,1
Janssen,ACA5775,21083
Janssen,ACA5778,1050
Janssen,ACA6111,34656
Janssen,EJ6134,4
Janssen,EL0725,1
Janssen,FD0168,1
Janssen,FD6840,3
Janssen,FE1248,2
Janssen,FE6208,4
Janssen,FE7051,23
Janssen,FE8244,7
Janssen,FF0680,11
Janssen,FF2832,61
Janssen,FF3318,10
Janssen,FG3739,21
Janssen,FG4509,34
Janssen,FK0594,12
Janssen,FL4213,7
Janssen,FL5324,1
Janssen,FM7533,10
Janssen,FM9088,1
Janssen,FN5519,5
Janssen,FP1972,1
Janssen,FP8234,2
Janssen,FP8956,1
Janssen,FR3566,2
Janssen,GD6798,1
Janssen,GD6803,2
Janssen,GH9722,1
Janssen,GH9851,1
Janssen,GK4367,1
Janssen,PCA0002,13
Janssen,PCB0001,12
Janssen,PCB0017,1
Janssen,SCTR1,36
Janssen,SDCN1,1
Janssen,T20,1
Janssen,XD955,16265
Janssen,XD974,21370
Janssen,XD975,18531
Janssen,XD986,31496
Janssen,XE393,145341
Janssen,XE423,11013
Novavax,,363
Novavax,000187A,1
Novavax,1F1045A,2
Novavax,1K082A,1
Novavax,216040,83
Novavax,216046,2
Novavax,4301MF011,4620
Novavax,4301MF012,86
Novavax,4302MF002,83
Novavax,4302MF016,169
Novavax,5683MF006C,2
Novavax,FG4509,1
Novavax,FL4213,1
Novavax,FM7533,11
Novavax,FN5519,1
Novavax,GH9851,1
Novavax,PCB0017,1
Others,,372
Others,1K082A,4
Others,FP1972,1
Others,GH9851,1
Others,GJ1988,1
Spikevax,,86130
Spikevax,000023A,98
Spikevax,000039A,1238
Spikevax,000058A,1728
Spikevax,000082A,183
Spikevax,000090A,99
Spikevax,000139A,203
Spikevax,000162A,18
Spikevax,000187A,112
Spikevax,000239A,77
Spikevax,000251A,36
Spikevax,000256A,7
Spikevax,000266A,8
Spikevax,000275A,36
Spikevax,000358A,135
Spikevax,000371A,152
Spikevax,000382A,1
Spikevax,000384A,2
Spikevax,000388A,2
Spikevax,000397A,121
Spikevax,007G21A,867
Spikevax,016G21A,8
Spikevax,03721001A,1
Spikevax,03721002A,2
Spikevax,090F21A,2105
Spikevax,093F21A,815
Spikevax,1F1005A,2
Spikevax,1F1006A,7
Spikevax,1F1020A,10
Spikevax,1F1045A,2
Spikevax,1K082A,8
Spikevax,200038A,3
Spikevax,200090A,8
Spikevax,210102,4
Spikevax,216040,1367
Spikevax,216041,1090
Spikevax,216046,895
Spikevax,21C10-05,7
Spikevax,21C17-05,10
Spikevax,223034,5
Spikevax,226004,44
Spikevax,226011,6
Spikevax,300042698,4848
Spikevax,300042721,15789
Spikevax,3000493,24744
Spikevax,3000496,33166
Spikevax,3001531,33427
Spikevax,3001659,32837
Spikevax,3001939,19874
Spikevax,3001943,27687
Spikevax,3002330,41802
Spikevax,3002339,31390
Spikevax,3002546,41916
Spikevax,3002916,41521
Spikevax,3002920,8655
Spikevax,3003601,8897
Spikevax,3003606,9760
Spikevax,3003659,9190
Spikevax,3004218,11270
Spikevax,3004493,6272
Spikevax,3004670,10964
Spikevax,3004738,3129
Spikevax,3005238,2405
Spikevax,3005242,8424
Spikevax,31100TB,1
Spikevax,400056A,4
Spikevax,ABV2856,2
Spikevax,ABV4678,3
Spikevax,ABV5297,2
Spikevax,ABV5811,66
Spikevax,ABV6096,1
Spikevax,ABV7764,1
Spikevax,ABV8139,1
Spikevax,ABW1277,4
Spikevax,ABW2187,114
Spikevax,ABW4801,46
Spikevax,ABW9941,3
Spikevax,ABX3502,2
Spikevax,ABX3519,1
Spikevax,ABX4044,103
Spikevax,ABX5105,16
Spikevax,ABY1328,1
Spikevax,EJ6134,1
Spikevax,EJ6790,2
Spikevax,EJ6797,1
Spikevax,EK9788,1
Spikevax,EL0725,52
Spikevax,EP2163,6
Spikevax,EP2166,5
Spikevax,ET1831,3
Spikevax,ET3620,5
Spikevax,ET7205,1
Spikevax,EW2239,1
Spikevax,EW2246,9
Spikevax,EW4815,1
Spikevax,EX0893,3
Spikevax,EY3014,10
Spikevax,EY7015,8
Spikevax,FA4598,7
Spikevax,FC0681,5
Spikevax,FC2473,159
Spikevax,FD0168,3
Spikevax,FD1921,6
Spikevax,FD4555,3
Spikevax,FD6840,5
Spikevax,FE1248,2
Spikevax,FE6208,2
Spikevax,FE7051,2
Spikevax,FE8244,2
Spikevax,FF0680,9
Spikevax,FF2832,5
Spikevax,FF3318,1
Spikevax,FG3739,7
Spikevax,FG4509,2
Spikevax,FK0594,6
Spikevax,FL5324,2
Spikevax,FM7533,28
Spikevax,FN4071,1
Spikevax,FN4072,4
Spikevax,FN5519,1
Spikevax,FP1972,6
Spikevax,FR3566,4
Spikevax,FW5875,1
Spikevax,GD6798,7
Spikevax,GJ1988,2
Spikevax,MV1013A,1
Spikevax,PCA0002,2
Spikevax,PCA0003,2
Spikevax,PCB0001,9
Spikevax,SCTR1,6
Spikevax,XD974,2
Spikevax,XD975,58
Spikevax,XD986,6
Spikevax,XE393,5
